#,Open Time,Type,Lots,Symbol,Price,Stop/Loss,Take Profit,Close Time,Close Price,Profit,Comment,MagicNumber
81559688,2018.02.07 17:03,1,0.03,GBPCAD,1.74259,1.7525,1.54481,2018.02.08 01:47,1.74443,-4.39,HA_SMA-short on strategy_2,20180207
81559689,2018.02.07 17:03,1,0.03,GBPJPY,152.003,153.322,125.728,2018.02.08 01:46,151.566,12,HA_SMA-short on strategy_2,20180207
81559691,2018.02.07 17:03,1,0.03,AUDNZD,1.07712,1.08188,0.98171,2018.02.07 22:00,1.08171,-9.96,HA_SMA-short on strategy_2[sl],20180207
81559694,2018.02.07 17:03,1,0.03,AUDCAD,0.98446,0.98837,0.90626,2018.02.08 01:46,0.98248,4.72,HA_SMA-short on strategy_2,20180207
81559695,2018.02.07 17:03,1,0.02,AUDJPY,85.881,86.65,70.27,2018.02.08 01:46,85.367,9.41,HA_SMA-short on strategy_2,20180207
81559701,2018.02.07 17:04,1,0.02,CADJPY,87.197,87.891,73.296,2018.02.08 01:47,86.909,5.27,HA_SMA-short on strategy_2,20180207
81566399,2018.02.07 20:00,1,0.02,NZDUSD,0.72626,0.73123,0.62854,2018.02.08 01:47,0.72297,6.58,IchimokuV1.0- short on NZDUSD,20170909
81566400,2018.02.07 20:00,1,0.02,NZDUSD,0.72626,0.72542,0.62826,2018.02.07 23:24,0.72546,1.6,HA_SMA-short on strategy_2[sl],20180207
81566409,2018.02.07 20:00,1,0.02,NZDJPY,79.56,79.512,65.76,2018.02.08 01:47,78.962,10.95,HA_SMA-short on strategy_2,20180207
81566413,2018.02.07 20:00,1,0.02,CHFJPY,116.006,116.656,103.006,2018.02.08 01:47,115.829,3.24,HA_SMA-short on strategy_2,20180207
81570627,2018.02.08 00:00,1,0.04,CADJPY,86.951,87.629,73.265,2018.02.08 01:47,86.903,1.75,bbMacd - short 0.04 on CADJPY,20180112
81570647,2018.02.08 00:00,1,0.04,NZDUSD,0.72323,0.72831,0.62163,2018.02.08 01:47,0.72297,1.04,bbMacd - short 0.04 on NZDUSD,20180112
81573073,2018.02.08 04:00,6,0.01,,0,0,0,2018.02.08 04:00,0,-425,CW-NBX-UP 1969927p,0
81573675,2018.02.08 03:33,6,0.01,,0,0,0,2018.02.08 03:33,0,351.97,CD-NBX-UP 0000000495360905,0
81573676,2018.02.08 03:33,6,0.01,,0,0,0,2018.02.08 03:33,0,9.03,EXP05-NBX-UP 0000000495360905,0
81597162,2018.02.08 16:00,0,0.02,USDCAD,1.25564,1.26383,1.36184,2018.02.09 15:32,1.26385,12.99,HA_SMA-long on strategy_2[sl],20180207
81597173,2018.02.08 16:00,0,0.02,EURNZD,1.6991,1.68806,1.91864,2018.02.09 17:27,1.68801,-16.08,HA_SMA-long on strategy_2[sl],20180207
81612464,2018.02.09 00:00,1,0.02,CADJPY,86.269,86.942,72.809,2018.02.14 09:40,85.406,16.07,bbMacd - short 0.02 on CADJPY,20180112
81612465,2018.02.09 00:00,1,0.02,USDJPY,108.72,109.373,95.702,2018.02.13 17:01,107.689,19.15,bbMacd - short 0.02 on USDJPY,20180112
